icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorplain,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
40198,ET-AYA,AIRBUS,A350-941,A359,,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,,,,,,,,
76cda7,9V-SMG,AIRBUS,A350-941,A359,62,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
76cd0d,9V-SHM,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
40170,ET-AWM,AIRBUS,A350-941,A359,289,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,,,,,,,,RR Trent XWB
00afe9,ZS-SDC,AIRBUS,A350-941,A359,,L2J,South African Airways,SPRINGBOK,SAA,,,2020-10-01,,,,,
39ce24,F-HTRE,AIRBUS,A350-941,A359,,L2J,Air Cara誰bes,FRENCH WEST,FWI,,,,,,,,
3c6706,D-AIXF,AIRBUS,A350-941,A359,146,L2J,Lufthansa,LUFTHANSA,DLH,,,,,,,,
89916b,B-18915,AIRBUS,A350-941,A359,179,L2J,China Airlines,DYNASTY,CAL,,,,,2017-12-01,,,
841c60,JA07XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
4bb0e9,TC-LGI,AIRBUS,A350-941,A359,,L2J,Turkish Airlines,TURKISH,THY,,,,,,,,
34640e,EC-NIG,AIRBUS,A350-941,A359,397,L2J,Iberia Airlines,IBERIA,IBE,,,,,2019-12-01,2020-01-17,,RR Trent XWB
06a127,A7-ANK,AIRBUS,A350-1041,A35K,332,L2J,Qatar Airways,QATARI,QTR,,,,,,,,RR Trent XWB-97
39c495,F-HREV,AIRBUS,A350-941,A359,,L2J,French Bee,,,,,,,,,,
39cf0d,F-HTYN,AIRBUS,A350-941,A359,,L2J,Air France,AIRFRANS,AFR,,,,,,,,
846f00,JA15XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
780aa4,B-LRD,AIRBUS,A350-941,A359,38,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
e49249,PR-XTC,AIRBUS,A350-941,A359,35,L2J,Latam Brasil,TAM,TAM,,,,,,,,
899022,B-18905,AIRBUS,A350-941,A359,73,L2J,China Airlines,DYNASTY,CAL,,,,,,,,
846444,JA12XJ,AIRBUS,A350-941,A359,536,L2J,Japan Airlines,JAPANAIR,JAL,,,,,,,,
76cdb9,9V-SMY,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,2019-09-13,,,,,,RR Trent XWB-84
885103,HS-THC,AIRBUS,A350-941,A359,50,L2J,Thai Airways,THAI,THA,,,,,,,,
76cda4,9V-SMD,AIRBUS,A350-941,A359,37,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
04014e,ET-AVE,AIRBUS,A350-941,A359,,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,,,,,,,,
06a11e,A7-ANB,AIRBUS,A350-1041,A35K,102,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
06a0fe,A7-ALJ,AIRBUS,A350-941,A359,25,L2J,Qatar Airways,QATARI,QTR,F-WZFT,2016-08-01,,,2016-01-01,,,
88812d,VN-A892,AIRBUS,A350-941,A359,86,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
4bb0e6,TC-LGF,AIRBUS,A350-941,A359,,L2J,Turkish Airlines,TURKISH,THY,,,,,,,,
407af4,G-XWBK,AIRBUS,A350-1041,A35K,,L2J,British Airways,SPEEDBIRD,BAW,,,,,,,,
888167,VN-A898,AIRBUS,A350-941,A359,,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
346419,EC-NIS,AIRBUS,A350-941,A359,406,L2J,Iberia Airlines,IBERIA,IBE,,,,,,2016-03-20,,RR Trent XWB
7816b0,B-308G,AIRBUS,A350-941,A359,,L2J,Hainan Airlines,HAINAN,CHH,,,,,,,,
06a0f7,A7-ALC,AIRBUS,A350-941,A359,9,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
3465c5,EC-NOI,AIRBUS,A350-941,A359,448,L2J,World2fly,,WFL,,,,,2021-02-01,2021-04-23,,RR Trent XWB
06a12d,A7-ANQ,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
789234,B-LQB,AIRBUS,A350-941,A359,337,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,RR Trent XWB
461f4e,OH-LWG,AIRBUS,A350-941,A359,51,L2J,Finnair,FINNAIR,FIN,,,,,,,,
76cd0f,9V-SHO,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
76cd15,9V-SHU,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,JET
8411a4,JA04XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
88800000000,VN-A889,AIRBUS,A350-941,A359,17,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
06a126,A7-ANJ,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
8460b0,JA11XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
06a129,A7-ANM,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
407698,G-VJAM,AIRBUS,A350-1041,A35K,,L2J,Virgin Atlantic Airways,VIRGIN,VIR,,2019-09-27,,,,,,
a66935,N512DN,AIRBUS,A350-941,A359,267,L2J,Delta Air Lines,DELTA,DAL,,2019-01-25,2029-01-31,,2019-01-01,,,ROLLS-ROYC TRENT XWB-84
346390,EC-NGY,AIRBUS,A350-941,A359,400,L2J,Evelop Airlines,EVELOP,EVE,,,,,2020-06-01,2020-02-24,,RR Trent XWB
781602,B-305X,AIRBUS,A350-941,A359,,L2J,China Eastern Airlines,CHINA EASTERN,CES,,2019-01-29,,,,,,
888123,VN-A890,AIRBUS,A350-941,A359,56,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
43be90,VP-BXA,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
34659a,EC-NMZ,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
780aa3,B-LRC,AIRBUS,A350-941,A359,34,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
e49248,PR-XTB,AIRBUS,A350-941,A359,27,L2J,Latam Brasil,TAM,TAM,,,,,,,,
789246,B-LXN,AIRBUS,A350-1041,A35K,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
a65092,N506DN,AIRBUS,A350-941,A359,175,L2J,Delta Air Lines,DELTA,DAL,,,2027-12-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
885105,HS-THE,AIRBUS,A350-941,A359,111,L2J,Thai Airways,THAI,THA,,,,,,,,
846b6c,JA14XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
780abc,B-LRQ,AIRBUS,A350-941,A359,109,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
a65bb7,N509DN,AIRBUS,A350-941,A359,199,L2J,Delta Air Lines,DELTA,DAL,,,2028-04-30,,2018-01-01,,,ROLLS-ROYC TRENT XWB-84
c8809d,DQ-FAJ,AIRBUS,A350-941,A359,,L2J,Fiji Airways,PACIFIC,FJI,,,,,,,,
06a11d,A7-ANA,AIRBUS,A350-1041,A35K,88,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
781916,B-30EA,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
06a123,A7-ANG,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
89900f,B-18902,AIRBUS,A350-941,A359,57,L2J,China Airlines,DYNASTY,CAL,,,,,,,,
06a0eb,A7-AML,AIRBUS,A350-941,A359,257,L2J,Qatar Airways,QATARI,QTR,,2019-09-27,,,2019-06-01,,,
3e854f,10+03,AIRBUS,A350-941,A359,,L2J,German Air Force,GERMAN AIR FORCE,GAF,,,,,,,,
8990f3,B-18906,AIRBUS,A350-941,A359,92,L2J,China Airlines,DYNASTY,CAL,,,,,2017-02-01,,,
407943,G-XWBG,AIRBUS,A350-1041,A35K,432,L2J,British Airways,SPEEDBIRD,BAW,,,,,2020-08-01,,,
780ac8,B-LRS,AIRBUS,A350-941,A359,128,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
896596,A6-XWA,AIRBUS,A350-1041,A35K,,L2J,Etihad Airways,ETIHAD,ETD,,,,,,,,
3c6708,D-AIXH,AIRBUS,A350-941,A359,184,L2J,Lufthansa,LUFTHANSA,DLH,,,,,,,,
781344,B-1081,AIRBUS,A350-941,A359,,L2J,Air China,AIR CHINA,CCA,,,,,,,,
7816b2,B-308J,AIRBUS,A350-941,A359,,L2J,Hainan Airlines,HAINAN,CHH,,,,,,,,
8400000000000,JA03XJ,AIRBUS,A350-941,A359,343,L2J,Japan Airlines,JAPANAIR,JAL,,,,,,,,
789202,B-LRU,AIRBUS,A350-941,A359,148,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
06a0e4,A7-AME,AIRBUS,A350-941,A359,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
71c362,HL8362,AIRBUS,A350-941,A359,,L2J,Asiana Airlines,ASIANA,AAR,,,,,,,,
06a12f,A7-ANS,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
a6745a,N515DN,AIRBUS,A350-941,A359,404,L2J,Delta Air Lines,DELTA,DAL,,,2027-09-30,,2020-01-01,,,ROLLS-ROYC TRENT XWB-84
346114,EC-NBO,AIRBUS,A350-941,A359,293,L2J,Evelop Airlines,SUNBEAM,EVE,,,,,,,,RR TRENT XWB
346386,EC-NGT,AIRBUS,A350-941,A359,366,L2J,Iberia Airlines,IBERIA,IBE,,,,,2019-10-01,2019-11-13,,RR Trent XWB
39cf02,F-HTYC,AIRBUS,A350-941,A359,359,L2J,Air France,AIRFRANS,AFR,,,,,,,,
885108,HS-THH,AIRBUS,A350-941,A359,142,L2J,Thai Airways,THAI,THA,,,,,,,,
71c079,HL8079,AIRBUS,A350-941,A359,117,L2J,Asiana Airlines,ASIANA,AAR,,,,,,,,
899128,B-18909,AIRBUS,A350-941,A359,138,L2J,China Airlines,DYNASTY,CAL,,,,,2017-07-01,,,
346456,EC-NJM,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
06a10d,A7-ALY,AIRBUS,A350-941,A359,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
76cce2,9V-SGB,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
60041,3B-NCF,AIRBUS,A350-941,A359,,L2J,Air Mauritius,AIRMAURITIUS,MAU,,,,,,,,
4aca64,SE-RSD,AIRBUS,A350-941,A359,,L2J,SAS Airlines,SCANDINAVIAN,SAS,,,,,,,,
06a12c,A7-ANP,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
39cf0c,F-HTYM,AIRBUS,A350-941,A359,,L2J,Air France,AIRFRANS,AFR,,,,,,,,
780ab8,B-LRM,AIRBUS,A350-941,A359,75,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
71bf71,HL7771,AIRBUS,A350-941,A359,,L2J,Asiana Airlines,ASIANA,AAR,,,,,,,,
e49235,PR-XTA,AIRBUS,A350-941,A359,24,L2J,Latam Brasil,TAM,TAM,,,,,,,,
461f50,OH-LWI,AIRBUS,A350-941,A359,104,L2J,Finnair,FINNAIR,FIN,,,,,,,,
76cda5,9V-SME,AIRBUS,A350-941,A359,41,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
76cd45,9V-SJE,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
06a125,A7-ANI,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
899125,B-18908,AIRBUS,A350-941,A359,121,L2J,China Airlines,DYNASTY,CAL,,,,,,,,
06a10a,A7-ALV,AIRBUS,A350-941,A359,106,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
39c48d,F-HREN,AIRBUS,A350-941,A359,,L2J,French Bee,French bee,FBU,,,,,,,,
75855a,RP-C3507,AIRBUS,A350-941,A359,,L2J,Philippine Airlines,PHILIPPINE,PAL,,2019-02-19,,,,,,
781a53,B-320S,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
789242,B-LQE,AIRBUS,A350-941,A359,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
151dc2,RA-73154,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
781581,B-304D,AIRBUS,A350-941,A359,,L2J,China Eastern Airlines,CHINA EASTERN,CES,,,,,,,,
40203,ET-AYM,AIRBUS,A350-941,A359,,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,,,,,,,,
76cdaf,9V-SMO,AIRBUS,A350-941,A359,116,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,2017-05-01,,,
840a7c,JA02XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
06a109,A7-ALU,AIRBUS,A350-941,A359,100,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
845d1c,JA10XJ,AIRBUS,A350-941,A359,,L2J,Japan Airlines,J-BIRD,JAL,,,,,,,,
780ac7,B-LGA,AIRBUS,A350-941,A359,124,L2J,Hong Kong Airlines,BAUHINIA,CRK,,,,,,,,
04012a,ET-ATQ,AIRBUS,A350-941,A359,40,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,F-WZGM,2016-06-28,,,2016-01-01,,,
781caa,B-326Y,AIRBUS,A350-941,A359,,L2J,Air China,AIR CHINA,CCA,,,,,,,,
8880000000,VN-A888,AIRBUS,A350-941,A359,16,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
888124,VN-A891,AIRBUS,A350-941,A359,67,L2J,Vietnam Airlines,VIET NAM AIRLINES,HVN,,,,,,,,
a65449,N507DN,AIRBUS,A350-941,A359,182,L2J,Delta Air Lines,DELTA,DAL,,,2028-02-29,,2018-01-01,,,ROLLS-ROYC TRENT XWB-84
39b117,F-HMIX,AIRBUS,A350-1041,A35K,,L2J,French Bee,,FBU,,,,,,,,
3c670a,D-AIXJ,AIRBUS,A350-941,A359,209,L2J,Lufthansa,LUFTHANSA,DLH,,,,,,,,
76cd07,9V-SHG,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
3c6710,D-AIXP,AIRBUS,A350-941,A359,390,L2J,Lufthansa,LUFTHANSA,DLH,,,,,,,,
06a0e0,A7-AMA,AIRBUS,A350-941,A359,79,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
781b13,B-322H,AIRBUS,A350-941,A359,,L2J,Air China,AIR CHINA,CCA,,,,,,,,
885104,HS-THD,AIRBUS,A350-941,A359,95,L2J,Thai Airways,THAI,THA,,,,,,,,
461f52,OH-LWK,AIRBUS,A350-941,A359,113,L2J,Finnair,FINNAIR,FIN,,,,,,,,
71c078,HL8078,AIRBUS,A350-941,A359,94,L2J,Asiana Airlines,ASIANA,AAR,,,,,,,,
347206,EC-NSC,AIRBUS,A350-941,A359,,L2J,Iberia Airlines,IBERIA,IBE,,,,,,,,
8990ec,B-18917,AIRBUS,A350-941,A359,208,L2J,China Airlines,DYNASTY,CAL,,2018-06-12,,,,2018-04-06,,2x RR Trent XWB-84 
06a0ff,A7-ALK,AIRBUS,A350-941,A359,33,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
76cd19,9V-SHY,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
71c383,HL8383,AIRBUS,A350-941,A359,,L2J,Asiana Airlines,ASIANA,AAR,,,,,,,,
781949,B-30F9,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
151dc1,RA-73153,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
407af5,G-XWBJ,AIRBUS,A350-1041,A35K,,L2J,British Airways,SPEEDBIRD,BAW,,,,,,,,
43bebd,VP-BYF,AIRBUS,A350-941,A359,,L2J,Aeroflot Russian Airlines,AEROFLOT,AFL,,,,,,,,
7816c6,B-308T,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
78193a,B-30F0,AIRBUS,A350-941,A359,,L2J,China Southern Airlines,CHINA SOUTHERN,CSN,,,,,,,,
789216,B-LXD,AIRBUS,A350-1041,A35K,,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,Rolls Royce Trent XWB
7816b1,B-308H,AIRBUS,A350-941,A359,,L2J,Hainan Airlines,HAINAN,CHH,,,,,,,,
789203,B-LRV,AIRBUS,A350-941,A359,154,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
76cda1,9V-SMA,AIRBUS,A350-941,A359,26,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
06a12e,A7-ANR,AIRBUS,A350-1041,A35K,,L2J,Qatar Airways,QATARI,QTR,,,,,,,,
76cdba,9V-SMZ,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
76cd41,9V-SJA,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,
789269,B-LXP,AIRBUS,A350-1041,A35K,503,L2J,Cathay Pacific,CATHAY,CPA,,2022-09-20,,,2022-07-01,,,
4079cd,G-VEVE,AIRBUS,A350-1041,A35K,,L2J,Virgin Atlantic Airways,VIRGIN,VIR,,,,,,,,
76cd16,9V-SHV,AIRBUS,A350-941,A359,,L2J,Singapore Airlines,SINGAPORE,SIA,,,,,,,,JET
780aab,B-LRG,AIRBUS,A350-941,A359,53,L2J,Cathay Pacific,CATHAY,CPA,,,,,,,,
